,DESCRIPTION,CITY
0,guy just started following me,no_city
1,Was walking by the town library,Pietermaritzburg
2,Was walking by the town library,Pietermaritzburg
3,In our school there is a male teacher who follows pupils and starts touching them,Nairobi
4,"There is a girl who loves having sex and getting paid then she buys sweets for us but she wants to stop the habit ,what should she do?",Nairobi
5,"I have a boyfriend who likes touching me every time have been sent to the shop and tells me to go to his place , I don't like what he is doing ,have tried to stop him but he refuses",Nairobi
6,There are boys who like disturbing me and touching my private parts,Nairobi
7,I always feel shy when I pass past boys,Nairobi
8,If a boy insists in having sex with you what should you do?,Nairobi
9,There is a boy who tried to kiss me and i accepted,Nairobi
10,"There is a girl who is who is being disturbed by a boy who and he even wants to touch her private parts, she is only twelve years and he even call her his wife",Nairobi
11,There is a boy who is disturbing me,Nairobi
12,Is it healthy to have sex while still in your menstrual cycle?,Nairobi
13,"There was a girl who went to study at her friends house ,the friend went out to buy food then a man who pretended to be the headteachers brother and then she raped her ,the girl told the neighbors who helped the girl by taking her to hospital",Nairobi
14,everyday when a girl has been sent to the shop she is being disturbs y a man,Nairobi
15,there is a girl whom boys have been writing a letter to her and putting in her bag,Nairobi
16,there is a man who like following following a girl and she is afraid of telling her parents,Nairobi
17,"I have a friend who was raped and she now has a child ,she needs advice",Nairobi
18,a girl was sent    to shop and met a man on her way who wanted to rape her and screamed for help as she was running,Nairobi
19,If a boy hugs you inappropriately what should you do?,Nairobi
20,There is a boy who likes disturbing me and I dont know what to do,Nairobi
21,If your neighbor who is a man calls you and asks you to go and buy for him something and when you come back he forces you to sleep with him what should you do?,Nairobi
22,there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him,Nairobi
23,there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him,Nairobi
24,there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him,Nairobi
25,there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him,Nairobi
26,there are some boys who likes disturbing a girl when she in class even if she has been sent they follow him,Nairobi
27,a boy is following a girl in  the same school,Nairobi
28,there is a teacher who likes touching a girl on the breast,Nairobi
29,there is  a girl who is being disturbed y a boy in the school,Nairobi
30,There is a boy who likes disturbing me when am on the road and he throws stones at me when I refuse,Nairobi
31,There was one of my friend who meta man that forced her to have sex with him .He told my friend that if she refuses he will kill her .,Nairobi
32,"If a boy comes and asks you if you can be his girlfriend why do you always keep him in your mind and even if you don't see him after a long time i still think of him ,what should i do?",Nairobi
33,My cousin was raped 1 year ago and there is a boy who disturbs me and i don't know what to do and i even fear walking in front of boys,Nairobi
34,"If your periods take long time to appear what might be wrong, If a boy is disturbing you and you have refused and he still follows you what do you do and if a boy tells you to have sex with him and he pays you what should you do ?",Nairobi
35,a girl is complaining that she is being disturbed by a boy,Nairobi
36,If you were walking at home and a boy comes and catches your buttocks and breast is there any problem ?,Nairobi
37,What can you do when a boy tells you he wants you?,Nairobi
38,"there is  a boy who disturbs a certain girl in school and even follows him when she goes to the toilet,she is afraid of telling her parents and she is requesting for help",Nairobi
39,There is a boy who likes to follow me and I don't know what to do,Nairobi
40,"I have a friend who is pregnant and she is 12 years , her parents and friends are sayind she should abort ,what should i DO AS FRIEND",Nairobi
41,there is a  boy who likes disturbing a girl and even follows her everywhere she goes,Nairobi
42,What can a girl do when she feels like having sex and she does not want to break her virginity,Nairobi
43,What if your boyfriend wants a kiss,Nairobi
44,"I have a boyfriend and is disturbing really disturbing ,what can I do ?",Nairobi
45,"If a boy tells you that he loves you and he really means it , and you  do't love him and if you tell him so and he refuses to here you what do you do?",Nairobi
46,there is a boy  who follows a girl when she is from school and even if the girl runs he follows her,Nairobi
47,there is a boy ho loves a girl and the girl does not love him and she is asking what should she do?,Nairobi
48,I saw a friend of mine being touched by a boy .Please help her .Sheila,no_city
49,There is an uncle who touched my private parts  and there is a day he greeted me and I refused but I felt like I disrespected him.,Nairobi
50,If you have sex will you get HIV and AIDS,Nairobi
51,If a boy buys you school staffs should you accept or refuse?,Nairobi
52,If you love somebody in your class should you tell him or not?,no_city
53,"There is a girl who wants his brother to be my boyfriend ,they are even calling me in-law and there are some boys who want to touch the girls in their private parts",Nairobi
54,there is a boy who like disturbing a girl and her friends and they do not know what  he is after,Nairobi
55,"If someone tells you that he loves you and is ready to wait till you finiosh school and will never force you to do anything you don't want ,is it bad?",Nairobi
56,Is condom 100% protective and if you have sex when you are experiencing your monthly period will you get pregnant?,Nairobi
57,"there is a man who is forcing a a girl to love him and she do not want and even threatens to kill her with an axe, panga or knife if she don,t do so",Nairobi
58,My  friend in class four is saying that there is a boy in class six who loves her and follows her every time,Nairobi
59,there is a girl who is in love with boy but the boy does not know,Nairobi
60,"prefects two are in love in the same class and they make a lot of  noise when in class ,they even go to the toilet together",Nairobi
61,There is a boy who likes calling me and there is a teacher who has the habit of touching girls,Nairobi
62,a boy in class seven is calling a girl his sweet baby,Nairobi
63,"a girl was in a relationship with a boy,and they break up due to how people are talking about there relationships then,the boy started bullying the girl even threatening her but she still love the boy",Nairobi
64,A girl is asking if a boy comes to your house so that they can do assignment together,Nairobi
65,A girl is asking if a boy comes to your house so that they can do assignment together,Nairobi
66,there is a boy who is disturbing a girl in the same class,Nairobi
67,there is a boy who is disturbing a girl in the same class,Nairobi
68,"There is a girl who is being forced by a boy to love him but she is against it,he even threatens to kill her if she don,t do so",Nairobi
69,a girl is complaining that they are being caned on the buttocks thoroughly by one of the teachers,Nairobi
70,My sister and I was going to eat golgappa and a boy was commenting and intentionally bumping into my cousin.,Patna
71,A group of boys came on their bike and snatched one lady's purse and ran away,Patna
72,While coming back from dance a boy was commenting on my uncle's daughter who was elder than me. We complained about it to the local people and they beaten the guy very badly,Patna
73,A boy was following me while I was coming back from school.,Patna
74,A Man was touching my hand when I was travelling in public auto. When I asked why are doing this he clearly refused and pretended to be innocent.,no_city
75,"My mother and aunt was going to market, while returning from there. Two man came on bike and snatched my mother's chain",Patna
76,"A girl senior from me who lived in my apartment was harassed by group of boys. Everdag they form a group with their bike and harass her by whistling, touching and commenting.",Patna
77,"One day I saw a man was, snatching one lady's dupatta. And no one was helping her",Patna
78,I was in market with my mom. There I saw a man was sitting beside a shop and he was continuously staring a girl. After sometime he started whistling at her.,Patna
79,"One day I was playing in garden of my house. My friend called me she used to live on the next side of the road. A boy started making faces at my friend and me. First we ignored it, but he didn't stopped.  I gave him tight slap and asked him to leave.",no_city
80,There is a girl who leaves with her sister and the sisters husband sleeps with her severally and she cant speak out because he is the one who provides everything and doesn't want to wrong her sister,Nairobi
81,If a boy has HIV and you sleep with him will you get HIV ?,Nairobi
82,There is a boy who  comes at our shop and says he wants us to be friends  but I refused if he follows me what should I do,Nairobi
83,If a person at the age of my father want to have a relationship with you and want to have sex with you what will you do?,Nairobi
84,A girl says there are boys who lied to a certain girl to go study with them at their home and they raped her.,Nairobi
85,A girl says that an older man with three children is asking her to date him and put it  as a secret not to tell friends or parents,Nairobi
86,A girl says she has a friend who likes masturbating,Nairobi
87,A girl says that a man wants to have me for himself as a wife . And she she doesn't like him and he is now spreading to other boys that she is ugly .She doesn't know what to do,Nairobi
88,If someone forces you to sleep with him and and you refuses and you have been in a relationship with him for so long and says its time for you to pay back. What should you do?,Nairobi
89,If a boy wants you to do sex with him and tells you that if you shout or tell anyone  he will kill you.What is the best action to take?,Nairobi
90,Someone says her friend slept with a boy after school,Nairobi
91,A girl says there is a man who loves disturbing her when she has been sent to the shop by her parents,Nairobi
92,A girl says that her neighbor wanted to have sex with his child but the child reported him and he was caught,Nairobi
93,There is a  boy classmate who loves touching in their private parts and threatens them not to say anything to the teacher .,Nairobi
94,A girl says where she lives there a person who does sex and calls her beutiful,Nairobi
95,If a mother has sex with an infected man will she have HIV ?,Nairobi
96,A girl asks why do people have sex ?Why is it hard for girls to say no when a boy says they love them,Nairobi
97,A girl says that there is a boy who disturbs her and wants her to be her girlfriend and always calls her babe,Nairobi
98,Harassment from boys and and grown men who fit to be your grand father or father .Men do harass small children  by threatening them and taking them to their house and having sex with them under 10 years,Nairobi
99,A girl says she needs help where she lives there are boys who are disturbing her every time and she also wants mentorship,Nairobi
